WBS ID,Title,Description,Phase,Type,Status,Assignee,Start date,Due date,Effort,Priority,Blocked by,Deliverable,Deliverable type,Repo / Path,Technical Difficulty,Is risk ?,Murphy ID,Risk – Cause,Risk – Effect,Risk – Category,Probability,Impact / Gravité,Risk score,Response strategy,Mitigation plan,Contingency plan,Risk owner,Workstream,Review needed ?,Links
,mybci.py absent à la racine du repo,Cause: Mauvaise organisation des fichiers au démarrage du projet | Symptômes: Impossible d’exécuter python mybci.py 4 14 train/predict | Détection: ls -R du repo ; recherche mybci.py à la racine | Prévention: Imposer le chemin et le nom de script selon le subject §V.1.2 | Test: Cloner le repo vierge et lancer python mybci.py 4 14 train : attendre usage,6 – Infra / CI/CD,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-001,Mauvaise organisation des fichiers au démarrage du projet,Blocage complet de la défense (0 ou -42 si cheat),Infra / CI/CD,3 – Possible,5 – Catastrophique,15,,Imposer le chemin et le nom de script selon le subject §V.1.2,ls -R du repo ; recherche mybci.py à la racine,,Dev / Infra,Pas de review,
,Scripts dispersés dans plusieurs sous-dossiers non documentés,"Cause: Ajouts successifs sans refactor de l’arborescence | Symptômes: Évaluateur incapable de trouver train/predict sans lire tout le code | Détection: tree ; repérage manuel des scripts ; absence de README clair | Prévention: Figer une arborescence simple: src/, scripts/, tests/, mybci.py | Test: Demander à un pair de lancer le projet uniquement via README",6 – Infra / CI/CD,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-002,Ajouts successifs sans refactor de l’arborescence,"Perte de temps, incompréhension, suspicion de hors-sujet",Infra / CI/CD,4 – Probable,3 – Important,12,,"Figer une arborescence simple: src/, scripts/, tests/, mybci.py",tree ; repérage manuel des scripts ; absence de README clair,,Dev / Infra,Pas de review,
,Import absolu cassé dès qu’on lance depuis un autre cwd,"Cause: Utilisation de chemins relatifs fragiles dans sys.path/ imports | Symptômes: python mybci.py échoue avec ModuleNotFoundError | Détection: Lancer mybci.py depuis différentes positions (., scripts/) | Prévention: Utiliser des imports relatifs de package et un setup clair | Test: python -m scripts.mybci 4 14 train depuis la racine",6 – Infra / CI/CD,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-003,Utilisation de chemins relatifs fragiles dans sys.path/ imports,Impossible de lancer les scripts dans un autre environnement,Infra / CI/CD,4 – Probable,4 – Critique,16,,Utiliser des imports relatifs de package et un setup clair,"Lancer mybci.py depuis différentes positions (., scripts/)",,Dev / Infra,Pas de review,
,Datasets Physionet EEG inclus en dur dans le repo,"Cause: Téléchargement manuel puis commit sans .gitignore | Symptômes: Repo très lourd, clone lent, suspicion non-respect subject §VII | Détection: du -sh . ; vérifier présence de fichiers EDF/FIF bruts | Prévention: Mettre les données dans data/ et ignorer dans .gitignore | Test: Cloner sur une machine vierge et mesurer le temps de clone",6 – Infra / CI/CD,Risk,Backlog,,,,,Should,,,,,,Yes,TPV-004,Téléchargement manuel puis commit sans .gitignore,Problèmes pratiques + potentielle violation des consignes,Infra / CI/CD,3 – Possible,3 – Important,9,,Mettre les données dans data/ et ignorer dans .gitignore,du -sh . ; vérifier présence de fichiers EDF/FIF bruts,,Dev / Infra,Pas de review,
,Fichiers temporaires MNE/sklearn (cache) committés,"Cause: Lancement en debug sans nettoyage avant git add | Symptômes: Repo rempli de .npy, .fif~, pipelines picklés inutiles | Détection: git status ; recherche *.npy, *.fif, *.pkl dans le repo | Prévention: Ajouter patterns dans .gitignore (cache/, *.npy, *.fif) | Test: Exécuter find . -name '*.npy' avant chaque commit",6 – Infra / CI/CD,Risk,In progress,,,,,Should,,,,,,Yes,TPV-005,Lancement en debug sans nettoyage avant git add,"Manque de propreté, risques de confusion à la défense",Infra / CI/CD,4 – Probable,2 – Modéré,8,,"Ajouter patterns dans .gitignore (cache/, *.npy, *.fif)","git status ; recherche *.npy, *.fif, *.pkl dans le repo",,Dev / Infra,Pas de review,
,poetry.lock obsolète ou incomplet,Cause: Installation Poetry non synchronisée avec pyproject.toml | Symptômes: poetry install échoue ou installe des versions divergentes | Détection: Créer un environnement Poetry propre | Prévention: Verrouiller toutes les libs dans pyproject.toml et poetry.lock | Test: poetry env remove --all puis poetry install sur machine vierge,6 – Infra / CI/CD,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-006,Installation Poetry non synchronisée avec pyproject.toml,Projet non reproductible sur machine 42 ou pair évaluateur,Infra / CI/CD,3 – Possible,5 – Catastrophique,15,,Verrouiller toutes les libs dans pyproject.toml et poetry.lock,Créer un environnement Poetry propre,,Dev / Infra,Pas de review,
,"Utilisation de libs interdites (mne-realtime, autoML, etc.)","Cause: Recherche de raccourcis pour le temps réel/ML | Symptômes: Présence d’imports non autorisés, ou d’appels suspects | Détection: grep -R 'mne.realtime' 'auto-sklearn' 'autosklearn' | Prévention: Limiter aux libs autorisées: MNE, numpy/scipy, sklearn | Test: Débrancher Internet et vérifier que tout tourne en local",6 – Infra / CI/CD,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-007,Recherche de raccourcis pour le temps réel/ML,Risque de flag 'Forbidden function' ou 'Cheat' (§Checklist),Infra / CI/CD,2 – Peu probable,5 – Catastrophique,10,,"Limiter aux libs autorisées: MNE, numpy/scipy, sklearn",grep -R 'mne.realtime' 'auto-sklearn' 'autosklearn',,Dev / Infra,Pas de review,
,Aucune règle pour lancer train/predict et les tests,"Cause: Makefile minimaliste ou absent, CI inexistante | Symptômes: Évaluateur obligé de chercher à la main les commandes | Détection: Afficher make help ; lire la CI si elle existe | Prévention: Créer des cibles claires: make train, make predict, make eval | Test: Exécuter make all sur une machine vierge 42 sans IDE",6 – Infra / CI/CD,Risk,Backlog,,,,,Should,,,,,,Yes,TPV-008,"Makefile minimaliste ou absent, CI inexistante","Perte de temps, risque d’oublier des cas importants",Infra / CI/CD,3 – Possible,3 – Important,9,,"Créer des cibles claires: make train, make predict, make eval",Afficher make help ; lire la CI si elle existe,,Dev / Infra,Pas de review,
,Scripts perso d’évaluation non testés et non documentés,"Cause: Écriture rapide de scripts de bench en 'one-shot' | Symptômes: Résultats présentés en défense impossible à reproduire | Détection: Inspecter scripts/ ; vérifier docstrings et README | Prévention: Documenter chaque script avec usage, entrées/sorties | Test: Demander à un pair de reproduire les scores à partir du README",6 – Infra / CI/CD,Risk,In progress,,,,,Should,,,,,,Yes,TPV-009,Écriture rapide de scripts de bench en 'one-shot',Crédibilité des scores remise en question,Infra / CI/CD,3 – Possible,3 – Important,9,,"Documenter chaque script avec usage, entrées/sorties",Inspecter scripts/ ; vérifier docstrings et README,,Dev / Infra,Pas de review,
,Utilisation de fonctionnalités Python/OS non disponibles 42,"Cause: Tests uniquement sur laptop perso avec sudo et libs globales | Symptômes: Crashs sur machines 42 (lib introuvable, version incompatible) | Détection: Tester strictement sur machine 42 sans sudo | Prévention: Figer version Python et libs dans pyproject.toml/poetry.lock | Test: Lancer l’ensemble du pipeline sur une machine 42 neuve",6 – Infra / CI/CD,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-010,Tests uniquement sur laptop perso avec sudo et libs globales,Projet inexploitable au moment de la défense,Infra / CI/CD,3 – Possible,5 – Catastrophique,15,,Figer version Python et libs dans pyproject.toml/poetry.lock,Tester strictement sur machine 42 sans sudo,,Dev / Infra,Pas de review,
